"Date","Share Code","Year High (GHS)","Year Low (GHS)","Previous Closing Price VWAP (GHS)","Opening Price (GHS)","Closing Price VWAP (GHS)","Price Change (GHS)","Closing Bid Price (GHS)","Closing Offer Price (GHS)","Total Shares Traded","Total Value Traded","Last Transaction Price (GHS)"
"2015-06-12","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","47.00","0","","47.00"
"2015-06-15","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","47.00","0","","47.00"
"2015-06-16","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","47.00","0","","47.00"
"2015-06-17","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","47.00","0","","47.00"
"2015-06-18","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","47.00","0","","47.00"
"2015-06-19","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","47.00","0","","47.00"
"2015-06-22","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","47.00","0","","47.00"
"2015-06-23","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","47.00","0","","47.00"
"2015-06-24","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","47.00","0","","47.00"
"2015-06-25","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","47.00","0","","47.00"
"2015-06-26","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","47.00","0","","47.00"
"2015-06-29","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","47.00","0","","47.00"
"2015-06-30","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","47.00","0","","47.00"
"2015-07-02","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","47.00","0","","47.00"
"2015-07-03","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","47.00","0","","47.00"
"2015-07-06","GLD","47","35.8","47","47","47","0","","","0","","47"
"2015-07-07","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","","0","","47.00"
"2015-07-08","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","47.00","0","","47.00"
"2015-07-09","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","47.00","0","","47.00"
"2015-07-10","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","","0","","47.00"
"2015-07-13","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","47.00","0","","47.00"
"2015-07-14","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","47.00","0","","47.00"
"2015-07-15","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","47.00","0","","47.00"
"2015-07-16","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","","0","","47.00"
"2015-07-17","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","47.00","0","","47.00"
"2015-07-21","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","47.00","0","","47.00"
"2015-07-22","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","","0","","47.00"
"2015-07-23","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","47.00","0","","47.00"
"2015-07-24","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","47.00","0","","47.00"
"2015-07-27","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","","0","","47.00"
"2015-07-28","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","","0","","47.00"
"2015-07-29","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","45.00","0","","47.00"
"2015-07-30","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","45.00","0","","47.00"
"2015-07-31","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","","0","","47.00"
"2015-08-03","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","","0","","47.00"
"2015-08-04","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","47.00","0","","47.00"
"2015-08-05","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","45.00","0","","47.00"
"2015-08-06","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","45.00","0","","47.00"
"2015-08-07","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","","0","","47.00"
"2015-08-10","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","","0","","47.00"
"2015-08-11","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","47.00","0","","47.00"
"2015-08-12","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","45.00","0","","47.00"
"2015-08-13","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","45.00","0","","47.00"
"2015-08-14","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","45.00","0","","47.00"
"2015-08-17","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","45.00","0","","47.00"
"2015-08-18","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","45.00","0","","47.00"
"2015-08-19","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","45.00","0","","47.00"
"2015-08-20","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","45.00","0","","47.00"
"2015-08-21","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","45.00","0","","47.00"
"2015-08-24","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","45.00","0","","47.00"
"2015-08-25","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","45.00","0","","47.00"
"2015-08-26","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","45.46","0","","47.00"
"2015-08-27","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","48.00","0","","47.00"
"2015-08-28","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","48.00","0","","47.00"
"2015-08-31","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","","0","","47.00"
"2015-09-01","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","","0","","47.00"
"2015-09-02","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","48.00","0","","47.00"
"2015-09-03","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","45.00","0","","47.00"
"2015-09-04","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","45.00","0","","47.00"
"2015-09-07","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","45.00","0","","47.00"
"2015-09-08","GLD","47.00","35.80","47.00","47.00","47.00","0.00","","","0","","47.00"
"2015-09-09","GLD","47.00","35.80","47.00","47.00","42.08","-4.92","","45.00","10","","42.08"
"2015-09-10","GLD","47.00","35.80","42.08","42.08","42.08","0.00","","","0","","42.08"
"2015-09-11","GLD","47.00","35.80","42.08","42.08","42.08","0.00","","","0","","42.08"
"2015-09-14","GLD","47.00","35.80","42.08","42.08","42.08","0.00","","42.00","0","","42.08"
"2015-09-15","GLD","47.00","35.80","42.08","39.95","39.95","-2.13","39.95","47.00","9","","39.95"
"2015-09-16","GLD","47.00","35.80","39.95","39.95","39.95","0.00","","47.00","0","","39.95"
"2015-09-17","GLD","47.00","35.80","39.95","39.95","39.95","0.00","","43.47","0","","39.95"
"2015-09-18","GLD","47.00","35.80","39.95","39.95","39.95","0.00","33.96","43.47","0","","39.95"
"2015-09-22","GLD","47.00","35.80","39.95","39.95","39.95","0.00","","43.47","0","","39.95"
"2015-09-23","GLD","47.00","35.80","39.95","39.95","39.95","0.00","","","0","","39.95"
"2015-09-25","GLD","47.00","35.80","39.95","39.95","39.95","0.00","","","0","","39.95"
"2015-09-28","GLD","47.00","35.80","39.95","39.95","39.95","0.00","","","0","","39.95"
"2015-09-29","GLD","47.00","35.80","39.95","39.95","39.95","0.00","","","0","","39.95"
"2015-09-30","GLD","47.00","35.80","39.95","39.95","39.95","0.00","","","0","","39.95"
"2015-10-01","GLD","47.00","35.80","39.95","39.95","39.95","0.00","","","0","","39.95"
"2015-10-02","GLD","47.00","35.80","39.95","39.95","39.95","0.00","33.96","","0","","39.95"
"2015-10-05","GLD","47.00","35.80","39.95","39.95","39.95","0.00","33.97","43.00","0","","39.95"
"2015-10-06","GLD","47.00","35.80","39.95","39.95","39.95","0.00","34.00","","0","","39.95"
"2015-10-07","GLD","47.00","35.80","39.95","39.95","39.95","0.00","34.00","","0","","39.95"
"2015-10-08","GLD","47.00","35.80","39.95","39.95","39.95","0.00","","","0","","39.95"
"2015-10-09","GLD","47.00","35.80","39.95","39.95","39.95","0.00","","","0","","39.95"
"2015-10-12","GLD","47.00","35.80","39.95","39.95","39.95","0.00","","","0","","39.95"
"2015-10-13","GLD","47.00","35.80","39.95","39.95","39.95","0.00","34.00","","0","","39.95"
"2015-10-14","GLD","47.00","35.80","39.95","39.95","39.95","0.00","34.00","","0","","39.95"
"2015-10-15","GLD","47.00","35.80","39.95","39.95","39.95","0.00","34.00","","0","","39.95"
"2015-10-16","GLD","47.00","35.80","39.95","39.95","39.95","0.00","","","0","","39.95"
"2015-10-19","GLD","47.00","35.80","39.95","39.95","39.95","0.00","","","0","","39.95"
